Unit ID,Rental Type,Maximum Capacity,Day Rate,CI Day Time,CO Day Time,Night Rate,CI Night Time,CO Night Time,24-Hr Rate,CI 24-HR Time,CO 24-HR Time,Early CI and Late CO fee,Early CI Time Day If unit not used prior night,Early CI Time Night If unit not used during day,Early CI Time 24HR If unit not used prior booking,Late CO Time Day If Available,Late CO Time Night If Available,Late CO Time 24-HR If Available,Early CI and Late CO fee percentage,Notes
SPB1,Social Hall,50,"₱3,500",7:00 AM,5:00 PM,"₱4,000",6:00 PM,6:00 AM,"₱7,500",7:00 AM,6:00 AM,"₱1,000",3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,13%,
SPB1X,Open Cottage,20,"₱2,000",7:00 AM,5:00 PM,"₱2,500",6:00 PM,6:00 AM,"₱4,500",7:00 AM,6:00 AM,₱500,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,11%,
SPB2,Social Hall,50,"₱3,500",7:00 AM,5:00 PM,"₱4,000",6:00 PM,6:00 AM,"₱7,500",7:00 AM,6:00 AM,"₱1,000",3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,13%,
LLHALL,Social Hall,50,"₱4,500",7:00 AM,5:00 PM,"₱5,000",6:00 PM,6:00 AM,"₱9,500",7:00 AM,6:00 AM,"₱1,000",3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,11%,
LL4,Open Cottage,15,"₱1,500",7:00 AM,5:00 PM,"₱2,000",6:00 PM,6:00 AM,"₱3,500",7:00 AM,6:00 AM,₱500,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,14%,
LL5,Open Cottage,15,"₱1,500",7:00 AM,5:00 PM,"₱2,000",6:00 PM,6:00 AM,"₱3,500",7:00 AM,6:00 AM,₱500,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,14%,
LL6,Open Cottage,15,"₱1,500",7:00 AM,5:00 PM,"₱2,000",6:00 PM,6:00 AM,"₱3,500",7:00 AM,6:00 AM,₱500,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,14%,
LLB,Open Cottage,30,"₱2,000",7:00 AM,5:00 PM,"₱2,500",6:00 PM,6:00 AM,"₱4,500",7:00 AM,6:00 AM,₱500,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,11%,
RC1,Open Cottage,10,₱700,7:00 AM,5:00 PM,"₱1,000",6:00 PM,6:00 AM,"₱1,700",7:00 AM,6:00 AM,₱350,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,21%,
RC2+RC7,Open Cottage,25,"₱1,500",7:00 AM,5:00 PM,"₱2,000",6:00 PM,6:00 AM,"₱3,500",7:00 AM,6:00 AM,₱350,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,10%,
RC3,Open Cottage,10,₱700,7:00 AM,5:00 PM,"₱1,000",6:00 PM,6:00 AM,"₱1,700",7:00 AM,6:00 AM,₱350,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,21%,
RC4+RC5,Open Cottage,20,"₱2,000",7:00 AM,5:00 PM,"₱2,500",6:00 PM,6:00 AM,"₱4,500",7:00 AM,6:00 AM,₱700,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,16%,
RC6,Open Cottage,10,₱700,7:00 AM,5:00 PM,"₱1,000",6:00 PM,6:00 AM,"₱1,700",7:00 AM,6:00 AM,₱350,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,21%,
RC8,Open Cottage,10,₱700,7:00 AM,5:00 PM,"₱1,000",6:00 PM,6:00 AM,"₱1,700",7:00 AM,6:00 AM,₱350,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,21%,
TENT,Other,,₱200,7:00 AM,5:00 PM,₱200,6:00 PM,6:00 AM,₱400,7:00 AM,6:00 AM,₱0,3:00 AM,4:00 PM,3:00 AM,7:00 PM,9:00 AM,9:00 AM,,
FR1,Room,6,,,,,,,"₱4,500",2:00 PM,12:00 PM,"₱1,000",,,10:00 AM,,,,22%,
FR2,Room,8,,,,,,,"₱4,500",2:00 PM,12:00 PM,"₱1,000",,,10:00 AM,,,,22%,
DORM,Room,12,,,,,,,"₱4,500",2:00 PM,12:00 PM,"₱1,000",,,10:00 AM,,,,22%,
BK1,Room,7,,,,,,,"₱3,000",2:00 PM,12:00 PM,₱700,,,10:00 AM,,,,23%,
BK2,Room,7,,,,,,,"₱3,000",2:00 PM,12:00 PM,₱700,,,10:00 AM,,,,23%,
BK3,Room,7,,,,,,,"₱3,000",2:00 PM,12:00 PM,₱700,,,10:00 AM,,,,23%,
RM1,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM2,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM3,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM4,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM5,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM6,Room,2,,,,,,,"₱1,300",2:00 PM,12:00 PM,₱350,,,10:00 AM,,,,27%,
RM7,Room,4,,,,,,,"₱2,000",2:00 PM,12:00 PM,₱500,,,10:00 AM,,,,25%,
RM8,Room,4,,,,,,,"₱2,000",2:00 PM,12:00 PM,₱500,,,10:00 AM,,,,25%,
RM9,Room,4,,,,,,,"₱2,000",2:00 PM,12:00 PM,₱500,,,10:00 AM,,,,25%,
RM10,Room,4,,,,,,,"₱2,000",2:00 PM,12:00 PM,₱500,,,10:00 AM,,,,25%,